,Reference Security,Ticker_x,Bid Price,Ask Price,Mid Price,Issuer Name,Cpn,Maturity,Ticker_y,Average Equity / Average Assets,Common Eqty / Tot Assets,Debt / Common Equity,Debt/Assets,Debt/EBITDA,EBITDA,Int Exp / Avg Int Bear Liab,Tot Debt / Tot Capital,Tot Loans to Tot Assets,Tot Risk-Based Cap,Earnings Assets / Int Bear Liab,Total Expenses to Average Earning Assets
138,ZS390130 Corp,ACSSM,99.5,100.5,100.0,ACS Actividades de Construccion y Servicios SA,0.277,06/28/2023,ACSSM,10.4637,9.45119,337.847,31.9305,6.8579,2180.82,,73.6002,,,,
139,BJ923344 Corp,ACSSM,101.489,101.989,101.739,ACS Actividades de Construccion y Servicios SA,1.375,06/17/2025,ACSSM,10.4637,9.45119,337.847,31.9305,6.8579,2180.82,,73.6002,,,,
140,BM015392 Corp,ADEBNO,101.994,102.748,102.37100000000001,Adevinta ASA,2.625,11/15/2025,ADEBNO,50.0974,36.1828,138.129,49.9789,26.0514,100.3,,57.6196,,,,
141,BM015394 Corp,ADEBNO,103.03,103.716,103.37299999999999,Adevinta ASA,3.0,11/15/2027,ADEBNO,50.0974,36.1828,138.129,49.9789,26.0514,100.3,,57.6196,,,,
142,EK921774 Corp,ADENVX,101.831,101.971,101.90100000000001,Adecco International Financial Services BV,1.5,11/22/2022,ADENVX,0.413573,0.43086,22981.2,99.0168,,,2.45948,99.5667,,,,
143,AV719430 Corp,ADJGR,97.88,98.88,98.38,ADLER Group SA,2.0,11/23/2023,ADJGR,35.314,27.9393,192.959,53.9113,10.7196,556.332,,61.9288,,,,
144,AO350532 Corp,ADJGR,96.837,97.996,97.4165,ADLER Group SA,1.5,07/26/2024,ADJGR,35.314,27.9393,192.959,53.9113,10.7196,556.332,,61.9288,,,,
145,BK706559 Corp,ADJGR,101.609,102.398,102.0035,ADLER Group SA,3.25,08/05/2025,ADJGR,35.314,27.9393,192.959,53.9113,10.7196,556.332,,61.9288,,,,
146,BN390791 Corp,ADJGR,96.291,96.793,96.542,ADLER Group SA,1.875,01/14/2026,ADJGR,35.314,27.9393,192.959,53.9113,10.7196,556.332,,61.9288,,,,
147,BM345732 Corp,ADJGR,99.404,100.328,99.866,ADLER Group SA,2.75,11/13/2026,ADJGR,35.314,27.9393,192.959,53.9113,10.7196,556.332,,61.9288,,,,
148,BP155345 Corp,ADJGR,96.186,97.074,96.63,ADLER Group SA,2.25,04/27/2027,ADJGR,35.314,27.9393,192.959,53.9113,10.7196,556.332,,61.9288,,,,
149,BN390792 Corp,ADJGR,95.212,95.222,95.217,ADLER Group SA,2.25,01/14/2029,ADJGR,35.314,27.9393,192.959,53.9113,10.7196,556.332,,61.9288,,,,
150,AQ233864 Corp,ADLERR,99.157,100.063,99.61,ADLER Real Estate AG,1.5,12/06/2021,ADLERR,17.9041,25.3193,227.528,57.6086,7.99957,358.986,,63.7757,,,,
151,ZS023930 Corp,ADLERR,99.206,100.053,99.62950000000001,ADLER Real Estate AG,1.5,04/17/2022,ADLERR,17.9041,25.3193,227.528,57.6086,7.99957,358.986,,63.7757,,,,
152,AS304969 Corp,ADLERR,98.894,100.567,99.7305,ADLER Real Estate AG,1.875,04/27/2023,ADLERR,17.9041,25.3193,227.528,57.6086,7.99957,358.986,,63.7757,,,,
153,AQ233878 Corp,ADLERR,99.313,100.253,99.783,ADLER Real Estate AG,2.125,02/06/2024,ADLERR,17.9041,25.3193,227.528,57.6086,7.99957,358.986,,63.7757,,,,
154,AS305014 Corp,ADLERR,102.877,103.954,103.4155,ADLER Real Estate AG,3.0,04/27/2026,ADLERR,17.9041,25.3193,227.528,57.6086,7.99957,358.986,,63.7757,,,,
155,EK984884 Corp,ADM,104.059,104.216,104.13749999999999,Archer-Daniels-Midland Co,1.75,06/23/2023,ADM,41.837,40.2261,55.265,22.2309,3.01875,2977.0,,35.4843,,,,
156,AR717327 Corp,ADNA,105.567,105.818,105.6925,Koninklijke Ahold Delhaize NV,1.125,03/19/2026,ADNA,32.2625,30.5515,117.053,35.7613,3.75695,5035.0,,53.9283,,,,
157,BO518290 Corp,ADNA,101.077,101.465,101.271,Koninklijke Ahold Delhaize NV,0.375,03/18/2030,ADNA,32.2625,30.5515,117.053,35.7613,3.75695,5035.0,,53.9283,,,,
158,QZ096767 Corp,ADNT,102.169,103.299,102.73400000000001,Adient Global Holdings Ltd,3.5,08/15/2024,ADNT,14.8571,11.8215,383.017,45.2782,6.59165,240.0,,74.6465,,,,
159,AF280956 Corp,ADPFP,103.269,103.483,103.376,Aeroports de Paris,1.5,07/24/2023,ADPFP,24.5567,19.6661,298.658,58.7345,,-62.0,,72.1362,,,,
160,BK251931 Corp,ADPFP,106.299,106.943,106.62100000000001,Aeroports de Paris,1.0,01/05/2029,ADPFP,24.5567,19.6661,298.658,58.7345,,-62.0,,72.1362,,,,
161,BH392688 Corp,ADPFP,120.866,121.575,121.2205,Aeroports de Paris,2.75,04/02/2030,ADPFP,24.5567,19.6661,298.658,58.7345,,-62.0,,72.1362,,,,
162,BK251933 Corp,ADPFP,110.246,110.989,110.6175,Aeroports de Paris,1.5,07/02/2032,ADPFP,24.5567,19.6661,298.658,58.7345,,-62.0,,72.1362,,,,
163,AO342780 Corp,ADRBID,100.875,101.625,101.25,United Group BV,4.875,07/01/2024,ADRBID,,,,,,,,,,,,
164,ZS613130 Corp,ADRBID,99.625,100.25,99.9375,United Group BV,4.125,05/15/2025,ADRBID,,,,,,,,,,,,
165,ZP588202 Corp,ADRBID,101.875,103.0,102.4375,Summer BidCo BV,9.0,11/15/2025,ADRBID,,,,,,,,,,,,
166,ZS590362 Corp,ADRBID,101.595,103.191,102.393,Summer BidCo BV,9.0,11/15/2025,ADRBID,,,,,,,,,,,,
167,ZP588193 Corp,ADRBID,96.551,97.51,97.0305,United Group BV,3.125,02/15/2026,ADRBID,,,,,,,,,,,,
168,ZP588197 Corp,ADRBID,98.14,99.14,98.64,United Group BV,3.25,02/15/2026,ADRBID,,,,,,,,,,,,
169,BM703851 Corp,ADRBID,99.023,99.398,99.2105,United Group BV,4.0,11/15/2027,ADRBID,,,,,,,,,,,,
170,ZP588200 Corp,ADRBID,97.178,98.093,97.63550000000001,United Group BV,3.625,02/15/2028,ADRBID,,,,,,,,,,,,
171,BQ603529 Corp,ADRBID,101.171,101.875,101.523,United Group BV,4.625,08/15/2028,ADRBID,,,,,,,,,,,,
172,AN738727 Corp,ADRIT,106.078,106.77,106.424,Aeroporti di Roma SpA,1.625,06/08/2027,ADRIT,28.8352,24.4121,233.235,56.9376,,-15.798,,69.9911,,,,
173,BM755535 Corp,ADRIT,106.414,106.946,106.68,Aeroporti di Roma SpA,1.625,02/02/2029,ADRIT,28.8352,24.4121,233.235,56.9376,,-15.798,,69.9911,,,,
174,BP201626 Corp,ADRIT,106.16,106.74,106.44999999999999,Aeroporti di Roma SpA,1.75,07/30/2031,ADRIT,28.8352,24.4121,233.235,56.9376,,-15.798,,69.9911,,,,
175,AU390528 Corp,ADSGR,123.55,125.05,124.3,adidas AG,0.05,09/12/2023,ADSGR,31.7519,30.656,91.2612,27.977,2.12816,1996.0,,46.8166,,,,
176,ZO263871 Corp,ADSGR,100.924,101.074,100.999,adidas AG,0.0,09/09/2024,ADSGR,31.7519,30.656,91.2612,27.977,2.12816,1996.0,,46.8166,,,,
177,EK525656 Corp,ADSGR,111.834,112.155,111.9945,adidas AG,2.25,10/08/2026,ADSGR,31.7519,30.656,91.2612,27.977,2.12816,1996.0,,46.8166,,,,
178,ZO703313 Corp,ADSGR,100.553,101.042,100.7975,adidas AG,0.0,10/05/2028,ADSGR,31.7519,30.656,91.2612,27.977,2.12816,1996.0,,46.8166,,,,
179,ZO263878 Corp,ADSGR,102.599,102.686,102.64250000000001,adidas AG,0.625,09/10/2035,ADSGR,31.7519,30.656,91.2612,27.977,2.12816,1996.0,,46.8166,,,,
180,BO691471 Corp,ADVZCN,100.883,101.464,101.17349999999999,Cidron Aida Finco Sarl,5.0,04/01/2028,ADVZCN,,,,,,,,,,,,
181,BM658414 Corp,ADXSM,107.3,108.2,107.75,Audax Renovables SA,2.75,11/30/2025,ADXSM,13.819,12.491,347.876,43.4533,9.83023,66.441,,76.7371,,,,
182,BN081973 Corp,ADXSM,100.259,100.763,100.511,Audax Renovables SA,4.2,12/18/2027,ADXSM,13.819,12.491,347.876,43.4533,9.83023,66.441,,76.7371,,,,
183,BP471741 Corp,AEDASH,102.047,102.853,102.44999999999999,Aedas Homes Opco SLU,4.0,08/15/2026,AEDASH,59.9821,58.8278,32.3011,19.002,,,,24.3798,,,,
184,AX917703 Corp,AEGON,119.845,122.535,121.19,Aegon NV,5.625,,AEGON,4.96377,4.96086,49.0848,2.43503,,,,30.4697,,,,
185,ED539717 Corp,AEGON,85.797,87.181,86.489,Aegon NV,0.0,,AEGON,4.96377,4.96086,49.0848,2.43503,,,,30.4697,,,,
186,BP862362 Corp,AEGON,101.775,102.058,101.91650000000001,Aegon Bank NV,0.375,06/09/2036,AEGON,4.37789,4.13555,368.678,15.2469,,,,78.6634,80.0939,708.719,,
187,EK179322 Corp,AEGON,110.016,110.234,110.125,Aegon NV,4.0,04/25/2044,AEGON,4.96377,4.96086,49.0848,2.43503,,,,30.4697,,,,
188,AP538204 Corp,AEMSPA,108.798,109.426,109.112,A2A SpA,1.625,10/19/2027,AEMSPA,29.7416,28.9301,127.142,36.7823,3.6123,1105.0,,52.2118,,,,
189,AZ566140 Corp,AEMSPA,105.85,106.681,106.2655,A2A SpA,1.0,07/16/2029,AEMSPA,29.7416,28.9301,127.142,36.7823,3.6123,1105.0,,52.2118,,,,
190,BQ395672 Corp,AEMSPA,101.865,102.108,101.9865,A2A SpA,0.625,07/15/2031,AEMSPA,29.7416,28.9301,127.142,36.7823,3.6123,1105.0,,52.2118,,,,
191,BM060999 Corp,AEMSPA,99.738,100.132,99.935,A2A SpA,0.625,10/28/2032,AEMSPA,29.7416,28.9301,127.142,36.7823,3.6123,1105.0,,52.2118,,,,
192,AM188487 Corp,AFDB,101.836,101.956,101.896,African Development Bank,0.25,01/24/2024,AFDB,21.476,22.0393,322.051,70.9779,,,,76.3062,,,,
193,QZ730966 Corp,AFFP,98.086,98.831,98.4585,Air France-KLM,3.75,10/12/2022,AFFP,-5.15702,-17.9637,,62.0734,,-3141.0,,140.63,,,,
194,BQ179421 Corp,AFFP,98.5,99.0,98.75,Air France-KLM,3.0,07/01/2024,AFFP,-5.15702,-17.9637,,62.0734,,-3141.0,,140.63,,,,
195,ZP426727 Corp,AFFP,92.875,93.375,93.125,Air France-KLM,1.875,01/16/2025,AFFP,-5.15702,-17.9637,,62.0734,,-3141.0,,140.63,,,,
196,AX778667 Corp,AFFP,15.95,16.15,16.049999999999997,Air France-KLM,0.125,03/25/2026,AFFP,-5.15702,-17.9637,,62.0734,,-3141.0,,140.63,,,,
197,BQ179423 Corp,AFFP,97.696,98.513,98.1045,Air France-KLM,3.875,07/01/2026,AFFP,-5.15702,-17.9637,,62.0734,,-3141.0,,140.63,,,,
198,QZ147818 Corp,AGGHOL,98.676,101.85,100.263,Aggregate Holdings SA,5.0,08/10/2021,AGGHOL,31.9789,42.1042,101.392,42.6903,6.13055,335.193,,49.9001,,,,
199,BM206504 Corp,AGGHOL,100.5,101.5,101.0,Aggregate Holdings SA,6.875,11/09/2025,AGGHOL,31.9789,42.1042,101.392,42.6903,6.13055,335.193,,49.9001,,,,
200,AN668259 Corp,AGN,101.418,102.218,101.81800000000001,Allergan Funding SCS,1.25,06/01/2024,AGN,,,,,,,,,,,,
201,AV387586 Corp,AGN,99.75,110.25,105.0,Allergan Funding SCS,2.625,11/15/2028,AGN,,,,,,,,,,,,
202,BO187287 Corp,AGRREG,97.748,99.926,98.837,Agri Resources Group SA,8.0,03/17/2026,AGRREG,74.0312,71.4305,18.5432,13.2455,9.10265,2.757,,14.2297,,,,
203,ZQ877148 Corp,AGSBB,91.75,92.649,92.1995,Ageas SA/NV,3.875,,AGSBB,10.3122,10.3709,57.7932,5.99365,,,,32.6521,,,,
204,EC561092 Corp,AGSBB,82.5,85.0,83.75,Ageasfinlux SA,0.819,,AGSBB,10.3122,10.3709,57.7932,5.99365,,,,32.6521,,,,
205,EK817485 Corp,AGSBB,114.659,115.147,114.903,AG Insurance SA,3.5,06/30/2047,AGSBB,10.3122,10.3709,57.7932,5.99365,,,,32.6521,,,,
206,ZS024171 Corp,AGSBB,114.645,116.039,115.342,Ageas SA/NV,3.25,07/02/2049,AGSBB,10.3122,10.3709,57.7932,5.99365,,,,32.6521,,,,
207,ZQ928657 Corp,AHLMUN,100.0,100.15,100.075,Ahlstrom-Munksjo Oyj,3.879,,AHLMUN,34.6915,34.3504,97.3436,33.4379,2.94695,354.4,,46.8551,,,,
208,BO455323 Corp,AHLMUN,100.75,101.25,101.0,SpA Holdings 3 Oy,3.625,02/04/2028,AHLMUN,,,,,,,,,,,,
209,ZR926160 Corp,AIB,108.0,108.5,108.25,AIB Group PLC,5.25,,AIB,12.9961,12.1574,90.0671,10.9499,,,0.372097,47.3851,53.8615,12681.0,109.665,
210,BK094237 Corp,AIB,113.375,114.125,113.75,AIB Group PLC,6.25,,AIB,12.9961,12.1574,90.0671,10.9499,,,0.372097,47.3851,53.8615,12681.0,109.665,
211,ZS777965 Corp,AIB,103.847,104.14,103.9935,AIB Group PLC,1.25,05/28/2024,AIB,12.9961,12.1574,90.0671,10.9499,,,0.372097,47.3851,53.8615,12681.0,109.665,
212,AT300242 Corp,AIB,108.628,109.041,108.83449999999999,AIB Group PLC,2.25,07/03/2025,AIB,12.9961,12.1574,90.0671,10.9499,,,0.372097,47.3851,53.8615,12681.0,109.665,
213,BP466117 Corp,AIB,101.107,101.403,101.255,AIB Group PLC,0.5,11/17/2027,AIB,12.9961,12.1574,90.0671,10.9499,,,0.372097,47.3851,53.8615,12681.0,109.665,
214,ZQ578101 Corp,AIB,102.813,103.053,102.93299999999999,AIB Group PLC,1.875,11/19/2029,AIB,12.9961,12.1574,90.0671,10.9499,,,0.372097,47.3851,53.8615,12681.0,109.665,
215,ZO616782 Corp,AIB,107.354,108.108,107.731,AIB Group PLC,2.875,05/30/2031,AIB,12.9961,12.1574,90.0671,10.9499,,,0.372097,47.3851,53.8615,12681.0,109.665,
216,JK758552 Corp,AIFP,100.375,100.446,100.4105,Air Liquide Finance SA,0.375,04/18/2022,AIFP,1.17586,1.15512,8554.43,98.8138,,,1.97215,98.8445,,,83.6938,
217,LW343502 Corp,AIFP,100.59,100.683,100.63650000000001,Air Liquide Finance SA,0.5,06/13/2022,AIFP,1.17586,1.15512,8554.43,98.8138,,,1.97215,98.8445,,,83.6938,
218,BP546830 Corp,AIFP,103.244,103.644,103.444,Air Liquide Finance SA,0.375,05/27/2031,AIFP,1.17586,1.15512,8554.43,98.8138,,,1.97215,98.8445,,,83.6938,
219,LW147173 Corp,AIG,102.785,102.949,102.86699999999999,American International Group Inc,1.5,06/08/2023,AIG,11.7887,11.23,58.5072,6.57037,,,,36.4446,,,,
220,AN667328 Corp,AIG,108.821,109.115,108.96799999999999,American International Group Inc,1.875,06/21/2027,AIG,11.7887,11.23,58.5072,6.57037,,,,36.4446,,,,
221,EG253245 Corp,AIG,93.5,95.5,94.5,American International Group Inc,1.182,03/15/2037,AIG,11.7887,11.23,58.5072,6.57037,,,,36.4446,,,,
222,AZ766657 Corp,AIRBAL,96.435,96.435,96.435,Air Baltic Corp AS,6.75,07/30/2024,AIRBAL,4.9254,3.49163,2409.46,84.1295,7.94145,102.89,,96.0151,,,,
223,EI641880 Corp,AIRBR,0.083,1.372,0.7275,Air Berlin PLC,8.25,04/19/2018,AIRBR,-105.21,-131.774,,100.959,,-629.081,,,,,,
224,EK146289 Corp,AIRFP,106.165,106.799,106.482,Airbus Finance BV,2.375,04/02/2024,AIRFP,5.5322,5.85404,248.984,14.5756,9.00581,2282.0,,71.3105,,,,
225,BH472735 Corp,AIRFP,104.905,105.259,105.082,Airbus SE,1.625,04/07/2025,AIRFP,5.5322,5.85404,248.984,14.5756,9.00581,2282.0,,71.3105,,,,
226,BJ814522 Corp,AIRFP,106.837,106.41,106.6235,Airbus SE,1.375,06/09/2026,AIRFP,5.5322,5.85404,248.984,14.5756,9.00581,2282.0,,71.3105,,,,
227,BH472736 Corp,AIRFP,107.79,108.446,108.118,Airbus SE,2.0,04/07/2028,AIRFP,5.5322,5.85404,248.984,14.5756,9.00581,2282.0,,71.3105,,,,
228,EK556916 Corp,AIRFP,114.708,115.528,115.118,Airbus Finance BV,2.125,10/29/2029,AIRFP,5.5322,5.85404,248.984,14.5756,9.00581,2282.0,,71.3105,,,,
229,BJ814523 Corp,AIRFP,110.46,111.141,110.8005,Airbus SE,1.625,06/09/2030,AIRFP,5.5322,5.85404,248.984,14.5756,9.00581,2282.0,,71.3105,,,,
230,LW060956 Corp,AIRFP,108.188,108.978,108.583,Airbus Finance BV,1.375,05/13/2031,AIRFP,5.5322,5.85404,248.984,14.5756,9.00581,2282.0,,71.3105,,,,
231,BH472737 Corp,AIRFP,117.815,118.833,118.324,Airbus SE,2.375,04/07/2032,AIRFP,5.5322,5.85404,248.984,14.5756,9.00581,2282.0,,71.3105,,,,
232,BJ814524 Corp,AIRFP,120.12,121.364,120.742,Airbus SE,2.375,06/09/2040,AIRFP,5.5322,5.85404,248.984,14.5756,9.00581,2282.0,,71.3105,,,,
233,ZQ804522 Corp,AKAFP,100.69,100.69,100.69,Akka Technologies,3.5,,AKAFP,17.2837,15.9052,252.719,40.1953,,-113.573,,61.7098,,,,
234,ZP482524 Corp,AKEFP,101.25,101.95,101.6,Arkema SA,1.5,,AKEFP,41.8019,41.8915,62.3356,26.1133,2.0281,1214.0,,34.8232,,,,
235,AZ018655 Corp,AKEFP,105.825,106.425,106.125,Arkema SA,2.75,,AKEFP,41.8019,41.8915,62.3356,26.1133,2.0281,1214.0,,34.8232,,,,
236,ZO837813 Corp,AKEFP,101.389,102.337,101.863,Arkema SA,0.125,10/14/2026,AKEFP,41.8019,41.8915,62.3356,26.1133,2.0281,1214.0,,34.8232,,,,
237,BP326292 Corp,AKERBP,102.911,103.49,103.2005,Aker BP ASA,1.125,05/12/2029,AKERBP,17.669,16.0005,210.555,33.69,1.36416,1554.6,,67.7996,,,,
238,BP412608 Corp,AKFAST,100.119,100.151,100.13499999999999,Akelius Residential Property Financing BV,0.017,05/12/2023,AKFAST,43.4323,42.1237,114.437,48.205,19.207,234.0,,52.9834,,,,
239,AP909109 Corp,AKFAST,102.935,103.044,102.98949999999999,Akelius Residential Property AB,1.125,03/14/2024,AKFAST,43.4323,42.1237,114.437,48.205,19.207,234.0,,52.9834,,,,
240,AN595696 Corp,AKFAST,105.786,105.939,105.8625,Akelius Residential Property AB,1.75,02/07/2025,AKFAST,43.4323,42.1237,114.437,48.205,19.207,234.0,,52.9834,,,,
241,ZO315728 Corp,AKFAST,103.341,103.59,103.46549999999999,Akelius Residential Property Financing BV,1.0,01/17/2028,AKFAST,43.4323,42.1237,114.437,48.205,19.207,234.0,,52.9834,,,,
242,BM182945 Corp,AKFAST,103.544,103.831,103.6875,Akelius Residential Property Financing BV,1.125,01/11/2029,AKFAST,43.4323,42.1237,114.437,48.205,19.207,234.0,,52.9834,,,,
243,BN990667 Corp,AKFAST,99.834,100.164,99.999,Akelius Residential Property Financing BV,0.75,02/22/2030,AKFAST,43.4323,42.1237,114.437,48.205,19.207,234.0,,52.9834,,,,
244,AR936992 Corp,AKFAST,105.75,106.5,106.125,Akelius Residential Property AB,3.875,10/05/2078,AKFAST,43.4323,42.1237,114.437,48.205,19.207,234.0,,52.9834,,,,
245,ZP989429 Corp,AKFAST,101.0,101.5,101.25,Akelius Residential Property AB,2.249,05/17/2081,AKFAST,43.4323,42.1237,114.437,48.205,19.207,234.0,,52.9834,,,,
246,BP594444 Corp,AKRPLS,99.4,100.0,99.7,Akropolis Group Uab,2.875,06/02/2026,AKRPLS,,,,,,,,,,,,
247,BP594151 Corp,AKTIA,100.75,101.5,101.125,Aktia Bank Oyj,3.875,,AKTIA,6.29913,6.30705,581.431,36.6712,,,,85.325,66.2061,504.321,247.201,
248,AQ325387 Corp,AKUOEN,101.0,103.0,102.0,Akuo Energy SAS,4.25,12/08/2023,AKUOEN,,,,,,,,,,,,
249,EJ294358 Corp,AKZANA,103.012,103.152,103.082,Akzo Nobel NV,2.625,07/27/2022,AKZANA,46.2368,43.6063,50.2959,21.9322,2.09583,1324.0,,32.6923,,,,
250,EK578706 Corp,AKZANA,106.904,107.304,107.104,Akzo Nobel NV,1.75,11/07/2024,AKZANA,46.2368,43.6063,50.2959,21.9322,2.09583,1324.0,,32.6923,,,,
251,JK646036 Corp,AKZANA,106.521,106.871,106.696,Akzo Nobel NV,1.125,04/08/2026,AKZANA,46.2368,43.6063,50.2959,21.9322,2.09583,1324.0,,32.6923,,,,
252,BH621607 Corp,AKZANA,101.436,102.254,101.845,Akzo Nobel NV,1.625,04/14/2030,AKZANA,46.2368,43.6063,50.2959,21.9322,2.09583,1324.0,,32.6923,,,,
253,ZQ661843 Corp,ALB,108.637,109.029,108.833,Albemarle New Holding GmbH,1.625,11/25/2028,ALB,40.373,40.8406,97.2742,39.7273,2.66278,771.7,,48.163,,,,
254,AO298125 Corp,ALDFP,101.13,101.227,101.1785,ALD SA,0.875,07/18/2022,ALDFP,16.0969,16.599,426.929,70.8661,3.94694,4504.4,,80.9082,,,,
255,AU573164 Corp,ALDFP,101.916,102.038,101.977,ALD SA,1.25,10/11/2022,ALDFP,16.0969,16.599,426.929,70.8661,3.94694,4504.4,,80.9082,,,,
256,AZ619338 Corp,ALDFP,100.989,101.219,101.104,ALD SA,0.375,07/18/2023,ALDFP,16.0969,16.599,426.929,70.8661,3.94694,4504.4,,80.9082,,,,
257,ZO856218 Corp,ALDFP,101.085,101.329,101.207,ALD SA,0.375,10/19/2023,ALDFP,16.0969,16.599,426.929,70.8661,3.94694,4504.4,,80.9082,,,,
258,BO128572 Corp,ALDFP,100.251,100.48,100.3655,ALD SA,0.0,02/23/2024,ALDFP,16.0969,16.599,426.929,70.8661,3.94694,4504.4,,80.9082,,,,
259,EK475646 Corp,ALFASS,101.325,101.822,101.5735,Alfa Laval Treasury International AB,1.375,09/12/2022,ALFASS,45.114,47.4992,40.2484,19.1176,1.55504,7546.0,,28.583,,,,
260,AQ927668 Corp,ALGSCO,101.582,103.092,102.33699999999999,Modulaire Global Finance Plc,6.5,02/15/2023,ALGSCO,7.75584,1.67273,0.0,0.0,,,,0.0,,,,
261,BK321520 Corp,ALGSCO,102.125,102.625,102.375,Modulaire Global Finance Plc,6.5,02/15/2023,ALGSCO,7.75584,1.67273,0.0,0.0,,,,0.0,,,,
262,AQ927608 Corp,ALGSCO,100.625,101.5,101.0625,Modulaire Global Finance Plc,6.25,02/15/2023,ALGSCO,7.75584,1.67273,0.0,0.0,,,,0.0,,,,
263,AF279066 Corp,ALITSA,2.5,10.3,6.4,Alitalia-Societa Aerea Italiana SpA,5.25,07/30/2020,ALITSA,13.4347,14.9286,0.0,0.0,0.0,0.4,,0.0,,,,
264,AR008123 Corp,ALLRNV,104.375,104.875,104.625,Alliander NV,1.625,,ALLRNV,46.9555,45.935,62.061,28.5077,3.79915,707.0,,38.2948,,,,
265,BJ838285 Corp,ALLRNV,102.784,103.284,103.034,Alliander NV,0.375,06/10/2030,ALLRNV,46.9555,45.935,62.061,28.5077,3.79915,707.0,,38.2948,,,,
266,AP275863 Corp,ALMAIN,101.303,102.003,101.65299999999999,Almaviva-The Italian Innovation Co SpA,7.25,10/15/2022,ALMAIN,2.06093,2.40767,1681.68,40.4893,2.70261,116.859,,93.053,,,,
267,AW016433 Corp,ALMSM,99.94,100.72,100.33,Almirall SA,0.25,12/14/2021,ALMSM,54.6017,56.8704,37.7899,21.4912,4.01062,215.383,,27.4257,,,,
268,ZQ012895 Corp,ALOFP,101.06,101.334,101.197,Alstom SA,0.25,10/14/2026,ALOFP,29.6099,31.6425,31.707,10.0329,4.14761,691.0,,23.9172,,,,
269,BQ624346 Corp,ALOFP,100.186,100.365,100.2755,Alstom SA,0.125,07/27/2027,ALOFP,29.6099,31.6425,31.707,10.0329,4.14761,691.0,,23.9172,,,,
270,BN332595 Corp,ALOFP,98.081,98.445,98.263,Alstom SA,0.0,01/11/2029,ALOFP,29.6099,31.6425,31.707,10.0329,4.14761,691.0,,23.9172,,,,
271,BQ624347 Corp,ALOFP,100.307,100.537,100.422,Alstom SA,0.5,07/27/2030,ALOFP,29.6099,31.6425,31.707,10.0329,4.14761,691.0,,23.9172,,,,
272,AQ865611 Corp,ALPHA,101.496,102.246,101.871,Alpha Bank SA,2.5,02/05/2023,ALPHA,12.5235,11.832,172.872,20.4542,,,,63.2295,69.1724,8342.0,151.79,
273,ZP935314 Corp,ALPHA,95.438,97.438,96.438,Alpha Services and Holdings SA,4.25,02/13/2030,ALPHA,12.5235,11.832,172.872,20.4542,,,,63.2295,69.1724,8342.0,151.79,
274,BO398437 Corp,ALPHA,100.406,100.406,100.406,Alpha Services and Holdings SA,5.5,06/11/2031,ALPHA,12.5235,11.832,172.872,20.4542,,,,63.2295,69.1724,8342.0,151.79,
275,AO010294 Corp,ALTAFP,105.988,106.211,106.0995,Altarea SCA,2.25,07/05/2024,ALTAFP,21.6372,19.648,231.453,45.476,,-342.5,,59.9708,,,,
276,ZQ062656 Corp,ALTAFP,104.277,105.152,104.7145,Altarea SCA,1.875,01/17/2028,ALTAFP,21.6372,19.648,231.453,45.476,,-342.5,,59.9708,,,,
277,BM976190 Corp,ALTAFP,101.092,101.647,101.3695,Altarea SCA,1.75,01/16/2030,ALTAFP,21.6372,19.648,231.453,45.476,,-342.5,,59.9708,,,,
278,AM609821 Corp,ALTCEL,100.75,102.75,101.75,Altri SGPS SA/ Celulose Beira Industrial Celbi SA,2.4,03/06/2024,ALTCEL,30.701,29.9673,182.293,54.6283,5.71887,130.377,,64.5751,,,,
279,ZP354478 Corp,ALTICE,97.182,98.165,97.6735,Altice Financing SA,2.25,01/15/2025,ALTICE,-1.97608,-4.04554,,80.3778,,1313.4,,105.43,,,,
280,ZP354480 Corp,ALTICE,94.725,97.742,96.23349999999999,Altice Financing SA,3.0,01/15/2028,ALTICE,-1.97608,-4.04554,,80.3778,,1313.4,,105.43,,,,
281,AP443144 Corp,ALTICE,98.046,99.221,98.6335,Altice Finco SA,4.75,01/15/2028,ALTICE,-1.97608,-4.04554,,80.3778,,1313.4,,105.43,,,,
282,AS963125 Corp,ALV,101.393,101.644,101.5185,Autoliv Inc,0.75,06/26/2023,ALV,30.2659,29.5324,105.94,31.2868,1.72919,797.3,,51.2955,,,,
283,BM368057 Corp,ALVGR,94.706,94.706,94.706,Allianz SE,2.625,,ALVGR,7.4751,7.62473,50.3421,3.83845,,,,32.4766,,,,
284,EK488468 Corp,ALVGR,108.51,110.251,109.38050000000001,Allianz SE,3.375,,ALVGR,7.4751,7.62473,50.3421,3.83845,,,,32.4766,,,,
285,EJ889775 Corp,ALVGR,109.113,111.254,110.18350000000001,Allianz SE,4.75,,ALVGR,7.4751,7.62473,50.3421,3.83845,,,,32.4766,,,,
286,AW568435 Corp,ALVGR,112.443,113.119,112.781,Allianz Finance II BV,1.5,01/15/2030,ALVGR,0.0556483,0.0690113,141658.0,97.7597,,436.628,,99.9295,,,,
287,ZP317764 Corp,ALVGR,103.728,104.504,104.116,Allianz Finance II BV,0.5,01/14/2031,ALVGR,0.0556483,0.0690113,141658.0,97.7597,,436.628,,99.9295,,,,
288,JK788828 Corp,ALVGR,112.846,113.525,113.1855,Allianz Finance II BV,1.375,04/21/2031,ALVGR,0.0556483,0.0690113,141658.0,97.7597,,436.628,,99.9295,,,,
